USPS,GEOID,ANSICODE,NAME,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG
IA,19181,00465279,Warren County,1475852609,9117672,569.830,3.520,41.336862,-93.564222
IA,19183,00465280,Washington County,1473322654,5353677,568.853,2.067,41.329401,-91.725052
IA,19185,00465281,Wayne County,1360940440,4347639,525.462,1.679,40.739983,-93.332613
IA,19187,00465282,Webster County,1853443705,7277624,715.619,2.810,42.433579,-94.175831
IA,19189,00465283,Winnebago County,1037261946,3182052,400.489,1.229,43.378124,-93.743488
IA,19191,00465284,Winneshiek County,1786713778,698598,689.854,0.270,43.292989,-91.850788
IA,19193,00465285,Woodbury County,2260790978,12793693,872.896,4.940,42.393220,-96.053296
IA,19195,00465286,Worth County,1036314927,4709127,400.123,1.818,43.373491,-93.248533
IA,19197,00465287,Wright County,1503286935,4703964,580.422,1.816,42.733007,-93.734735
KS,20001,00484970,Allen County,1295778917,13007243,500.303,5.022,37.884228,-95.300945
KS,20003,00484971,Anderson County,1501277203,10586462,579.646,4.087,38.215114,-95.292046
KS,20005,00484972,Atchison County,1116729915,6857773,431.172,2.648,39.532544,-95.313397
KS,20007,00484973,Barber County,2937251506,5403867,1134.079,2.086,37.222906,-98.685052
KS,20009,00484974,Barton County,2319076869,13555398,895.401,5.234,38.481239,-98.767837
KS,20011,00484975,Bourbon County,1645861840,9377657,635.471,3.621,37.856100,-94.850928
KS,20013,00484976,Brown County,1478552720,3196147,570.872,1.234,39.825931,-95.569905
KS,20015,00484977,Butler County,3703338016,43150085,1429.867,16.660,37.773649,-96.838840
KS,20017,00484978,Chase County,2002208725,12087996,773.057,4.667,38.299475,-96.594029
KS,20019,00484979,Chautauqua County,1654693850,15243783,638.881,5.886,37.154259,-96.245396
KS,20021,00484980,Cherokee County,1521793562,8948924,587.568,3.455,37.169392,-94.845698
KS,20023,00484981,Cheyenne County,2641501925,2738021,1019.890,1.057,39.789918,-101.727326
KS,20025,00484982,Clark County,2524286233,6604959,974.632,2.550,37.233831,-99.813869
KS,20027,00484983,Clay County,1671328254,26673841,645.303,10.299,39.344964,-97.168853
KS,20029,00484984,Cloud County,1852726620,6859887,715.342,2.649,39.487329,-97.641390
KS,20031,00484985,Coffey County,1623630869,70463973,626.887,27.206,38.236450,-95.729137
KS,20033,00484986,Comanche County,2041681126,3604153,788.298,1.392,37.181442,-99.251293
KS,20035,00484987,Cowley County,2915656996,17314108,1125.742,6.685,37.234507,-96.837247
KS,20037,00484988,Crawford County,1527463438,13609426,589.757,5.255,37.505820,-94.853897
KS,20039,00484989,Decatur County,2314199312,1631670,893.517,0.630,39.783542,-100.459708
KS,20041,00484990,Dickinson County,2193892430,12634272,847.067,4.878,38.867735,-97.157943
