GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG 
01350,27739754,290998,10.710,0.112,42.727772,-72.985346 
01351,54184370,1126535,20.921,0.435,42.539880,-72.521689 
01354,35664112,2664234,13.770,1.029,42.624101,-72.508607 
01355,122669023,35757840,47.363,13.806,42.458551,-72.327191 
01360,88740952,2814933,34.263,1.087,42.677091,-72.453876 
01364,101615809,2843803,39.234,1.098,42.605437,-72.292074 
01366,104578990,1454150,40.378,0.561,42.475621,-72.192468 
01367,68716295,1772428,26.532,0.684,42.695532,-72.909148 
01368,108362244,1836500,41.839,0.709,42.679456,-72.176935 
01370,129008495,1466298,49.810,0.566,42.593376,-72.726927 
01373,62597988,1469902,24.169,0.568,42.475481,-72.615403 
01375,36831455,1348186,14.221,0.521,42.466691,-72.546751 
01376,7142833,1472747,2.758,0.569,42.595280,-72.555002 
01378,88126714,814990,34.026,0.315,42.673533,-72.353213 
01379,78225279,969191,30.203,0.374,42.556310,-72.407148 
01420,78524434,1778703,30.318,0.687,42.584925,-71.816862 
01430,95701766,6785475,36.951,2.620,42.657005,-71.923442 
01431,61290097,1000255,23.664,0.386,42.676293,-71.832523 
01432,21910117,1240734,8.460,0.479,42.564663,-71.567298 
01434,13669085,401234,5.278,0.155,42.538903,-71.612027 
01436,24837851,512349,9.590,0.198,42.602059,-72.087015 
01438,1403966,48433,0.542,0.019,42.562243,-72.031402 
01440,62245173,2514727,24.033,0.971,42.588337,-71.986069 
01450,84887956,2590936,32.775,1.000,42.611760,-71.565269 
01451,49574292,1682062,19.141,0.649,42.501908,-71.568201 
01452,106327331,2406515,41.053,0.929,42.489598,-72.002878 
01453,73747919,1369889,28.474,0.529,42.519977,-71.763202 
01460,42773948,2574959,16.515,0.994,42.535931,-71.490569 
01462,68437073,3423861,26.424,1.322,42.582607,-71.720464 
01463,58471579,1548500,22.576,0.598,42.670643,-71.602858 
01464,38804944,201617,14.983,0.078,42.573654,-71.640986 
01467,4891512,38884,1.889,0.015,42.489646,-71.609577 
01468,55435947,697085,21.404,0.269,42.542767,-72.068345 
01469,58987947,606711,22.775,0.234,42.664828,-71.695087 
01473,91782535,4706357,35.437,1.817,42.554600,-71.905440 
01474,25720066,78185,9.931,0.030,42.669685,-71.752751 
01475,110976640,2711822,42.848,1.047,42.668160,-72.055644 
01501,40039684,2404899,15.459,0.929,42.198708,-71.846006 
01503,33599588,524072,12.973,0.202,42.384929,-71.633889 
